val_ce_loss,epoch,step,train_ce_loss
23413.064453125,0,205,
,0,205,24674.263671875
19588.61328125,1,411,
,1,411,21445.765625
17804.041015625,2,617,
,2,617,18588.826171875
17070.103515625,3,823,
,3,823,17450.216796875
16616.693359375,4,1029,
,4,1029,16857.44140625
16269.2529296875,5,1235,
,5,1235,16444.642578125
15957.443359375,6,1441,
,6,1441,16105.369140625
15620.9755859375,7,1647,
,7,1647,15776.3173828125
15318.630859375,8,1853,
,8,1853,15472.244140625
15075.0703125,9,2059,
,9,2059,15202.0732421875
14849.1572265625,10,2265,
,10,2265,14955.306640625
14605.505859375,11,2471,
,11,2471,14723.6474609375
14365.6708984375,12,2677,
,12,2677,14489.2177734375
14165.1884765625,13,2883,
,13,2883,14266.46875
13956.3564453125,14,3089,
,14,3089,14045.619140625
13782.6796875,15,3295,
,15,3295,13848.1494140625
13593.267578125,16,3501,
,16,3501,13659.357421875
13425.275390625,17,3707,
,17,3707,13478.7822265625
13265.544921875,18,3913,
,18,3913,13307.60546875
13088.4384765625,19,4119,
,19,4119,13143.5244140625
12961.5146484375,20,4325,
,20,4325,12981.6142578125
12820.962890625,21,4531,
,21,4531,12834.3662109375
12672.4169921875,22,4737,
,22,4737,12680.2373046875
12537.6064453125,23,4943,
,23,4943,12540.9130859375
12423.52734375,24,5149,
,24,5149,12401.8310546875
12295.0166015625,25,5355,
,25,5355,12274.6611328125
12168.59765625,26,5561,
,26,5561,12149.775390625
12052.0791015625,27,5767,
,27,5767,12022.431640625
11950.3232421875,28,5973,
,28,5973,11907.1796875
11853.6552734375,29,6179,
,29,6179,11799.5341796875
11730.7373046875,30,6385,
,30,6385,11689.2568359375
11647.2978515625,31,6591,
,31,6591,11593.9248046875
11539.8046875,32,6797,
,32,6797,11499.232421875
11453.302734375,33,7003,
,33,7003,11408.939453125
11386.138671875,34,7209,
,34,7209,11318.546875
11277.8583984375,35,7415,
,35,7415,11238.9443359375
11214.166015625,36,7621,
,36,7621,11152.5791015625
11148.2001953125,37,7827,
,37,7827,11075.171875
11061.2373046875,38,8033,
,38,8033,11008.9013671875
10989.8037109375,39,8239,
,39,8239,10934.6630859375
10927.2666015625,40,8445,
,40,8445,10871.1669921875
10897.912109375,41,8651,
,41,8651,10806.919921875
10813.2509765625,42,8857,
,42,8857,10740.5849609375
10779.2724609375,43,9063,
,43,9063,10686.8134765625
10711.537109375,44,9269,
,44,9269,10624.4951171875
10685.923828125,45,9475,
,45,9475,10572.404296875
10617.8291015625,46,9681,
,46,9681,10522.697265625
10585.146484375,47,9887,
,47,9887,10468.6142578125
10514.1494140625,48,10093,
,48,10093,10421.9755859375
10479.107421875,49,10299,
,49,10299,10371.05078125
