family,base_label,split,mse,r,rho,n_points
DVA,DVA/C4,train,0.0026561151457741633,0.9927651689267174,0.9842641455814369,122
DVA,DVA/C4,val,0.016262893067927674,0.9600169152252798,0.8666666666666666,19
DVA,DVA/C4,test,0.015381746530300234,0.933446911673622,0.7309218916718944,22
DVA,DVA/DVO,train,0.002748872585484029,0.9970497380712982,0.9824268639651577,122
DVA,DVA/DVO,val,0.18592119328000253,0.8214085428658632,0.8754385964912281,19
DVA,DVA/DVO,test,0.14147620318498302,0.6878815978731587,0.7128325641131158,22
DVA,DVA/(DVA+DVO),train,0.0005746051528704967,0.9985660307056954,0.989894951110465,122
DVA,DVA/(DVA+DVO),val,0.017199927684606695,0.9622270475813582,0.83859649122807,19
DVA,DVA/(DVA+DVO),test,0.017145281630595345,0.922890429261619,0.6856985727749481,22
DVA,(DVA+DVO)/VDAL,train,0.010532615050786476,0.9216186818754906,0.8060081752422998,122
DVA,(DVA+DVO)/VDAL,val,0.037567398050344716,0.7020224231827082,0.5771929824561403,19
DVA,(DVA+DVO)/VDAL,test,0.052792722165312604,0.6471761528838181,0.5828155222843953,22
OA,OA/C6,train,0.0015790276634726093,0.9952557103417672,0.9708588520153826,119
OA,OA/C6,val,0.012909921319919953,0.9620004750732064,0.8859649122807017,19
OA,OA/C6,test,0.01966668193251344,0.9311081183805975,0.7885816232655009,22
OA,OA/OL,train,0.0009829727119350738,0.9970080998594814,0.9835493519441677,119
OA,OA/OL,val,0.022465531081545875,0.9308943352728822,0.8894736842105263,19
OA,OA/OL,test,0.05209207489869427,0.8368419397368596,0.8123238656863977,22
OA,OA/(OA+OL),train,0.0003796082127561947,0.998789113748492,0.9878507335137445,119
OA,OA/(OA+OL),val,0.01303370825006993,0.9633635775705306,0.8894736842105263,19
OA,OA/(OA+OL),test,0.018312167069289877,0.9329782318186892,0.8224991124382105,22
OA,(OA+OL)/PDAL,train,0.005964829743749361,0.789360894491737,0.8451281338981873,120
OA,(OA+OL)/PDAL,val,0.030091049165134234,0.30689230623862973,0.46315789473684205,19
OA,(OA+OL)/PDAL,test,0.025138072848705395,0.06843310310530887,0.1271905843976614,22
