label,mse,r,rho,n_points
0_DVA/C4,0.0036805269295082945,0.9468036695108479,0.940037274126894,42
0_DVA/DVO,0.0011521959169122418,0.9878736967213644,0.9865489020338709,42
0_DVA/(DVA+DVO),0.0007030818857894282,0.9896188804387133,0.9714771898549552,42
0_(DVA+DVO)/VDAL,0.007669331275161255,0.9245724852335387,0.8581962563811685,42
1_DVA/C4,0.0036335390157434732,0.9755712014953973,0.9833333333333333,9
1_DVA/DVO,0.0011614827510777928,0.9936758337341018,0.9833333333333333,9
1_DVA/(DVA+DVO),0.0005477857078826353,0.9955074961167442,0.9833333333333333,9
1_(DVA+DVO)/VDAL,0.0011218971610973954,0.9478921353523108,0.8833333333333333,9
2_OA/C6,0.0009753873049222519,0.9894655918511758,0.9439024390243904,41
2_OA/OL,0.000459227540871533,0.9967055121901157,0.995296167247387,41
2_OA/(OA+OL),0.00023289271547697666,0.9971438783441313,0.992857142857143,41
2_(OA+OL)/PDAL,0.002522696768068927,0.8896682928747905,0.8061745401507172,42
3_OA/C6,0.003227187785232873,0.9716403051109825,0.9333333333333332,9
3_OA/OL,0.0023366362178827986,0.9879095979634863,0.9833333333333333,9
3_OA/(OA+OL),0.0006650078819455601,0.9930836583975834,0.9333333333333332,9
3_(OA+OL)/PDAL,0.00048735649574748407,0.8527059515246737,0.8833333333333333,9
4_DVA/C4,0.0012058747370061625,0.9962073216170186,0.9765928906773976,71
4_DVA/DVO,0.00016421022870498426,0.9988179302371148,0.9353454057679409,71
4_DVA/(DVA+DVO),0.00023100130478429708,0.9992323986987107,0.9861837692823608,71
4_(DVA+DVO)/VDAL,0.0016509610247932482,0.8127465437519639,0.8312541918175721,71
5_OA/C6,0.0013895265812552972,0.9955341958299524,0.9588600657654367,69
5_OA/OL,0.0004287380840435779,0.9972970686718173,0.9288637194008038,69
5_OA/(OA+OL),0.00039082910331788976,0.9987622495233043,0.9590792838874681,69
5_(OA+OL)/PDAL,0.003232634687583607,0.7007174927678258,0.7103763244428207,69
